block_name,cluster,label,rf_prediction,rf_confidence,final_prediction,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,district
Kusumi,1,SOLAR,SOLAR,0.987124728162409,SOLAR,4.069613,3.661913,362.0517,6.045122,15.899644,63.937553,91.4267,Mayurbhanj
Kutra,1,SOLAR,SOLAR,0.9861430787232872,SOLAR,4.144323,3.284932,246.0265,3.559174,19.880502,56.260863,88.7177,Sundargarh
Lahunipada,3,SOLAR,SOLAR,0.9935473108577654,SOLAR,4.180297,3.026662,129.8215,16.456324,29.291238,51.038794,54.7412,Sundargarh
Laikera,1,SOLAR,SOLAR,0.9945777070143518,SOLAR,4.258027,3.618757,158.6725,10.606875,24.436341,38.10223,92.2433,Jharsuguda
Lakhanpur,3,SOLAR,SOLAR,0.9574691206310396,SOLAR,4.161944,3.825095,203.031,6.200746,16.557183,44.206974,33.4652,Jharsuguda
Lamtaput,1,SOLAR,SOLAR,0.9732140774841104,SOLAR,4.269055,4.52388,125.626,2.349885,15.236623,36.570305,53.1744,Koraput
Lanjigarh,3,SOLAR,SOLAR,0.9945594226730086,SOLAR,4.197787,4.142116,137.4935,6.853286,37.635865,43.756894,49.9827,Kalahandi
Lathikata,1,SOLAR,SOLAR,0.9904510648488918,SOLAR,4.149326,3.197705,264.7136,5.531829,23.970231,30.975305,66.7948,Sundargarh
Laxmipur,1,HYBRID,HYBRID,0.8324357857629627,HYBRID,4.187223,5.233631,129.4884,3.364048,7.38625,38.271515,41.1047,Koraput
Lephripada,1,SOLAR,SOLAR,0.9901171977590236,SOLAR,4.225952,3.68742,143.3827,3.793756,49.696999,54.015702,81.74040000000001,Sundargarh
Losingha,1,SOLAR,SOLAR,0.9891826347470686,SOLAR,4.235862,3.821432,479.0206,4.303949,23.57569,40.408367,84.31450000000001,Bolangir
Madanpur Ramapur,3,SOLAR,SOLAR,0.9928963873890572,SOLAR,4.226188,3.547562,142.1471,11.162035,80.38917,104.308733,61.48630000000001,Kalahandi
Mahakalpada,2,HYBRID,HYBRID,0.911685394326926,HYBRID,3.708416,5.626834,539.3048,3.97382,31.859841,25.297085,52.7144,Kendrapada
Mahanga,0,SOLAR,SOLAR,0.7533909324888595,SOLAR,4.053735,4.588613,939.5082,1.959069,21.803265,19.368681,94.0714,Cuttack
Malkangiri,1,SOLAR,SOLAR,0.9933747508507998,SOLAR,4.146218,3.26529,183.6093,1.772527,42.418965,42.198396,72.4366,Malkanagiri
Maneswar,1,SOLAR,SOLAR,0.985788927135599,SOLAR,4.216252,3.690275,499.995,1.56238,31.222519,33.705506,71.4501,Sambalpur
Marshaghai,0,HYBRID,HYBRID,0.969854988553368,HYBRID,4.043967,5.205067,754.8541,2.550263,12.598089,26.009503,65.6312,Kendrapada
